area_sqft,num_bedrooms,num_bathrooms,location_rating,year_built,property_type,condition,school_rating,crime_rate,proximity_to_city_km,parking_spaces,garden_size_sqft,renovation_status,price_usd
4396.349738010682,7.0,4.0,6.150446146169344,2007.0,Apartment,Poor,4.677228811362504,Medium,34.358949003109174,3.0,122.78863812221097,Full,1645088.3915432824
1224.0617741382212,1.0,,4.599701805915014,1960.0,Detached,New,6.39041577475622,Low,39.5678870862567,3.0,4816.739564676157,Major,1408165.934333883
3022.640493520633,3.0,3.0,2.913045071243363,1995.0,Townhouse,Fair,9.124919755678667,High,5.159504129472303,3.0,3139.122246964079,Minor,487712.7093165581
901.8687927452162,6.0,3.2,2.7052653743376602,2009.0,Apartment,Good,7.071589206327793,Low,9.628461907095026,1.0,1158.3658414896543,None,
1253.606169253517,7.0,3.6,3.515226283867846,1962.0,Townhouse,Good,8.545496086545775,High,26.13788219277061,3.0,448.422835564119,Major,1013564.830357815
4589.479777217484,6.0,5.8,9.839335678531143,1983.0,Semi-Detached,Good,2.684087089750661,Low,35.51444512003794,1.0,520.6660743489539,Major,1675772.1662016204
4967.569730046699,7.0,2.1,9.6631620140769,1968.0,Detached,Fair,8.55507338897487,Low,44.00021029023124,0.0,4188.761136973172,Major,1617848.9718516245
4988.59795698023,2.0,5.6,8.603140888081402,2013.0,Detached,,7.301390545468561,Low,27.232258108152568,2.0,4107.150778220341,Minor,912323.4628035756
4101.973686986883,7.0,5.9,1.6155069802078232,1976.0,Detached,Poor,3.6541839354830246,Low,15.233212607123498,,4169.324400070708,,1695247.9395014371
1398.260287000118,1.0,3.1,8.486720597532134,1979.0,Apartment,,9.058471418762359,High,42.89060988828837,3.0,4803.22483326481,Full,571822.8463437929
1787.3616842763508,1.0,2.2,7.800727982519423,1968.0,Apartment,Fair,6.985231910183865,Low,48.04113940486203,1.0,1952.962808314666,None,773547.1048480559
900.6266409159863,2.0,3.3,9.447499940658254,2008.0,Apartment,Good,5.209886771266564,High,12.453004980785149,1.0,4579.195419640841,Major,535141.9833502173
743.2234826148722,3.0,1.5,5.201725992306552,1976.0,Semi-Detached,Poor,7.339928954858186,High,30.108458627889682,2.0,807.5215914862328,Full,208865.85328931853
3796.708096088438,2.0,5.1,5.634152079278992,1983.0,,Good,1.0606265307544378,Medium,16.07433464570188,1.0,4695.999764497362,Major,546150.7352068302
2931.8249352842304,1.0,2.6,6.1093719009420955,1986.0,Townhouse,New,3.9107052686901422,High,42.97785645056118,2.0,1218.2568268583748,Major,1332357.1232441578
,3.0,2.5,5.913674219209483,1965.0,Detached,New,7.990307655955418,,20.431759801434584,2.0,2040.02933310103,Full,1547008.0401953238
3110.3822769186204,6.0,4.4,3.823681876383497,2009.0,Apartment,Good,8.731122841593066,High,45.695352195615776,0.0,2576.7786299256836,Minor,767688.1866853855
553.2058699736609,5.0,3.8,2.4527013094764376,2002.0,Semi-Detached,New,8.20167191284647,Low,23.745461626099058,0.0,4015.9062295009685,Full,1501138.6776278066
